Fiyat;Seri;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Log_Fiyat;Boya;Değişen;Marka_Audi;Marka_BMW;Marka_Chevrolet;Marka_Citroen;Marka_Fiat;Marka_Ford;Marka_Honda;Marka_Hyundai;Marka_Mercedes - Benz;Marka_Opel;Marka_Peugeot;Marka_Renault;Marka_Skoda;Marka_Toyota;Marka_Volkswagen
2495000.0;1280278.5714285714;2024.0;32000;1;0;2;1500.5;138.0;4;14.72979968796928;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
236750.0;1280278.5714285714;1994.0;185000;0;1;2;1700.5;88.0;4;12.37476423490424;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1250000.0;1383730.0;2013.0;190000;1;1;2;1500.5;113.0;8;14.038654909278163;1;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1250000.0;1280278.5714285714;2015.0;129000;1;0;2;1395.0;125.0;4;14.038654909278163;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1339500.0;1383730.0;2014.0;246500;1;1;2;1598.0;120.0;8;14.107807714513742;1;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1630000.0;1383730.0;2018.0;230000;1;1;2;1598.0;120.0;8;14.30409118627969;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
835000.0;861580.0;2015.0;255000;1;1;2;1500.5;113.0;8;13.635188201437066;4;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1025000.0;861580.0;2015.0;230000;1;1;2;1500.5;113.0;8;13.840204146163924;7;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1100000.0;1383730.0;2012.0;230498;2;1;2;1598.0;105.0;8;13.910821646859096;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1085000.0;829838.5428571429;2023.0;15000;1;1;2;999.0;80.0;4;13.897091466615258;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1419000.0;1280278.5714285714;2018.0;139000;1;0;2;999.0;110.0;4;14.165463660863566;0;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
650000.0;829838.5428571429;2012.0;245000;2;1;2;1390.0;85.0;4;13.384729180332174;4;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
650000.0;829838.5428571429;2012.0;245000;2;1;2;1390.0;85.0;4;13.384729180332174;4;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
698000.0;861580.0;2012.0;286000;2;0;2;1197.0;105.0;8;13.45597581440824;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1630000.0;1383730.0;2017.0;220000;1;1;2;1500.5;113.0;8;14.30409118627969;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1490000.0;1383730.0;2020.0;238000;1;0;2;1498.0;150.0;8;14.214287349062356;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1050000.0;1280278.5714285714;2016.0;190000;1;0;2;1200.0;113.0;4;13.864301674514206;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
335000.0;829838.5428571429;2001.0;262000;0;1;2;1390.0;100.0;3;12.721888795877376;0;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1745000.0;1383730.0;2020.0;109000;1;0;2;1500.5;138.0;8;14.372265686684402;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
2465000.0;1280278.5714285714;2024.0;18500;1;0;2;1498.0;150.0;4;14.717702771138358;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1519000.0;1383730.0;2016.0;148000;1;0;2;1300.5;113.0;8;14.23356343990554;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1299900.0;829838.5428571429;2021.0;52500;1;0;2;1200.0;88.0;4;14.07779866568576;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1985000.0;1383730.0;2018.0;84000;1;0;2;1300.5;113.0;8;14.50112997588164;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
570000.0;861580.0;2012.0;326500;2;1;2;1598.0;105.0;8;13.25339339419516;11;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1495000.0;1383730.0;2020.0;162000;1;1;2;1500.5;113.0;8;14.217637433703022;2;3;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1150000.0;1383730.0;2011.0;138000;2;0;2;1390.0;122.0;8;13.955273369904273;2;3;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
885000.0;829838.5428571429;2016.0;199000;1;1;2;1422.0;90.0;4;13.69334405393293;2;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
815000.0;1383730.0;2011.0;203000;2;0;2;1300.5;113.0;8;13.610944619216111;4;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
857000.0;829838.5428571429;2011.0;90000;2;1;2;1300.5;88.0;4;13.66119436444038;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
625000.0;1383730.0;2008.0;304000;2;0;2;1500.5;113.0;8;13.34550852871726;6;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1475000.0;1383730.0;2015.0;149000;1;1;2;1500.5;113.0;8;14.204169225721929;3;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
877000.0;1280278.5714285714;2009.0;196000;2;0;2;1390.0;122.0;4;13.684263411604524;1;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1135000.0;1383730.0;2012.0;144000;2;1;2;1598.0;105.0;8;13.94214408995452;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
410000.0;410000.0;2004.0;285000;0;1;2;1595.0;102.0;8;12.923914877701906;4;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1085000.0;829838.5428571429;2015.0;62250;1;0;2;1200.0;88.0;4;13.897091466615258;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
980000.0;861580.0;2015.0;243000;1;1;2;1500.5;113.0;8;13.795308871054395;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
849000.0;861580.0;2015.0;175000;1;0;2;1200.0;113.0;8;13.651815643149092;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1070000.0;1383730.0;2013.0;213000;1;1;2;1500.5;113.0;8;13.883170141017091;6;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
915000.0;1383730.0;2014.0;410000;1;1;2;1500.5;113.0;8;13.726680437153236;6;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
625000.0;625000.0;2003.0;250000;0;1;2;1500.5;113.0;3;13.34550852871726;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1335000.0;1280278.5714285714;2017.0;139000;1;0;2;1300.5;113.0;4;14.104442598879876;4;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1439000.0;1383730.0;2016.0;180000;1;1;2;1500.5;113.0;8;14.179459680796295;4;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
535000.0;861580.0;2007.0;336900;2;1;2;1595.0;102.0;8;13.190023895035274;6;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1615000.0;1383730.0;2016.0;161000;1;0;2;1300.5;138.0;8;14.29484613383375;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
919000.0;829838.5428571429;2024.0;24000;1;1;2;1200.0;88.0;4;13.731042489476511;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1045000.0;1383730.0;2011.0;205000;2;0;2;1300.5;113.0;8;13.85952840031839;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1039900.0;1383730.0;2013.0;192000;1;0;2;1300.5;113.0;8;13.854636074278789;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
695000.0;1383730.0;2012.0;335000;2;0;2;1390.0;122.0;8;13.451668563394817;7;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
775000.0;1280278.5714285714;2011.0;255000;2;0;2;1390.0;122.0;4;13.560619598657231;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
749000.0;1383730.0;2011.0;290000;2;0;2;1300.5;113.0;8;13.52649559761195;3;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1149000.0;1280278.5714285714;2017.0;79000;1;0;2;1200.0;113.0;4;13.954403427152531;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1175000.0;861580.0;2017.0;140000;1;0;2;1300.5;113.0;8;13.976779556623864;5;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1195000.0;829838.5428571429;2018.0;145000;1;0;2;1300.5;88.0;4;13.99365758016748;4;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
999000.0;999000.0;2016.0;136000;1;0;2;1300.5;138.0;2;13.81451105863119;4;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1625000.0;1383730.0;2016.0;70000;1;1;2;1598.0;120.0;8;14.301018989130402;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
