Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;İlan Tarihi;Boya-değişen;Araç Durumu;Link
1.375.000 TL;Skoda;Octavia;1.0 e-Tec Elite;2021;175.000 km;Yarı Otomatik;48 lt;Beyaz;999 cc;110 hp;Hatchback/5;29.Kas.25;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-skoda-octavia-1-0-e-tec-elite/2021-skoda-octavia-1-0-tsi-e-tec-elite-dsg/35286548
1.690.000 TL;Skoda;Octavia;1.0 e-Tec Premium;2023;79.000 km;Yarı Otomatik;48 lt;Mavi;999 cc;110 hp;Hatchback/5;29.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-skoda-octavia-1-0-e-tec-premium/car-s-skoda-octavia-1-0-e-tec-premium-elk-bgj-boyasiz/35286546
1.375.000 TL;Skoda;Octavia;1.0 e-Tec Elite;2022;140.000 km;Yarı Otomatik;48 lt;Gri;999 cc;110 hp;Hatchback/5;29.Kas.25;1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-skoda-octavia-1-0-e-tec-elite/2022-skoda-octavia-1-0-e-tec-elite-otomatik-110hp-dsg-degisensiz/35286544
1.265.000 TL;Skoda;Octavia;1.2 TSI Style;2016;60.777 km;Yarı Otomatik;50 lt;Beyaz;1197 cc;110 hp;Hatchback/5;29.Kas.25;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-skoda-octavia-1-2-tsi-style/sahibinden-skoda-octavia-1-2-tsi-style-2016-model/35275841
930.000 TL;Skoda;Octavia;1.2 TSI Ambition;2017;93.022 km;Düz;Benzin;Beyaz;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;29.Kas.25;2 değişen;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-skoda-octavia-1-2-tsi-ambition/2017-model-skoda-octavia-93-000-km-temiz-masrafsiz/32153448
415.000 TL;Skoda;Fabia;1.4 Comfort;2001;313.000 km;Düz;45 lt;Yeşil (metalik);1397 cc;68 hp;Hatchback/5;29.Kas.25;11 boyalı;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-skoda-fabia-1-4-comfort/sahibinden-skoda-fabia-1-4-comfort-2001-model/35277406
1.520.000 TL;Skoda;SuperB;1.6 TDI Style;2017;172.000 km;Düz;66 lt;Beyaz;1598 cc;120 hp;Sedan;29.Kas.25;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-style/galeriden-skoda-superb-1-6-tdi-style-2017-model-sanliurfa/35284239
1.200.000 TL;Skoda;Octavia;1.6 TDI Style;2018;281.000 km;Yarı Otomatik;50 lt;Beyaz;1598 cc;115 hp;Station wagon;29.Kas.25;1 boyalı;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-skoda-octavia-1-6-tdi-style/memurdan-skoda-octavia-1-6-tdi-style-2018-model/35277084
137.500 TL;Skoda;Forman;LX;1994;191.000 km;Düz;LPG & Benzin;Bordo;1289 cc;55 hp;Station wagon;29.Kas.25;Tamamı boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-skoda-forman-lx/galeri-beyazdan-1994-lx-benzin-lpg/33024550
1.055.000 TL;Skoda;Octavia;1.6 TDI Elegance;2013;124.773 km;Yarı Otomatik;50 lt;Beyaz;1598 cc;105 hp;Hatchback/5;29.Kas.25;3 değişen, 2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-skoda-octavia-1-6-tdi-elegance/galeriden-skoda-octavia-1-6-tdi-elegance-2013-model-denizli-124-773-km-beyaz/35283610
