Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Boya-değişen;Log_Fiyat
625000.0;Volkswagen;New Beetle;1.6 Smile;2003.0;250000;Düz;Dizel;;1500.5;113.0;Hatchback/3;Belirtilmemiş;13.34550852871726
1335000.0;Volkswagen;Golf;1.4 TSi Highline;2017.0;139000;Otomatik;Benzin;;1300.5;113.0;Hatchback/5;4 boyalı;14.104442598879876
1439000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;180000;Otomatik;Dizel;;1500.5;113.0;Sedan;4 boyalı;14.179459680796295
535000.0;Volkswagen;Jetta;1.6 Comfortline;2007.0;336900;Yarı Otomatik;Dizel;;1595.0;102.0;Sedan;6 boyalı;13.190023895035274
1615000.0;Volkswagen;Passat;1.4 TSi BlueMotion Highline;2016.0;161000;Otomatik;Benzin;;1300.5;138.0;Sedan;Tamamı orjinal;14.29484613383375
919000.0;Volkswagen;Polo;1.0 Impression;2024.0;24000;Otomatik;Dizel;;1200.0;88.0;Hatchback/5;Belirtilmemiş;13.731042489476511
1045000.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2011.0;205000;Yarı Otomatik;Benzin;;1300.5;113.0;Sedan;Tamamı orjinal;13.85952840031839
1039900.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2013.0;192000;Otomatik;Benzin;;1300.5;113.0;Sedan;Tamamı orjinal;13.854636074278789
695000.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2012.0;335000;Yarı Otomatik;Benzin;;1390.0;122.0;Sedan;7 boyalı;13.451668563394817
775000.0;Volkswagen;Golf;1.4 TSi Comfortline;2011.0;255000;Yarı Otomatik;Benzin;;1390.0;122.0;Hatchback/5;Belirtilmemiş;13.560619598657231
749000.0;Volkswagen;Passat;1.4 TSi BlueMotion Trendline;2011.0;290000;Yarı Otomatik;Benzin;;1300.5;113.0;Sedan;2 değişen, 3 boyalı;13.52649559761195
1149000.0;Volkswagen;Golf;1.0 TSi Comfortline;2017.0;79000;Otomatik;Benzin;;1200.0;113.0;Hatchback/5;Tamamı orjinal;13.954403427152531
1175000.0;Volkswagen;Jetta;1.4 TSi BlueMotion Highline;2017.0;140000;Otomatik;Benzin;;1300.5;113.0;Sedan;2 değişen, 5 boyalı;13.976779556623864
1195000.0;Volkswagen;Polo;1.0 TSi Comfortline;2018.0;145000;Otomatik;Benzin;;1300.5;88.0;Hatchback/5;4 boyalı;13.99365758016748
999000.0;Volkswagen;Scirocco;1.4 TSi Sportline;2016.0;136000;Otomatik;Benzin;;1300.5;138.0;Coupe;2 değişen, 4 boyalı;13.81451105863119
1625000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;70000;Otomatik;Dizel;;1598.0;120.0;Sedan;Tamamı orjinal;14.301018989130402
1110000.0;Volkswagen;VW CC;1.4 TSi;2015.0;228500;Otomatik;Benzin;;1300.5;163.0;Coupe;2 değişen, 5 boyalı;13.919871474189012
736900.0;Volkswagen;Polo;1.4 TDi Trendline;2017.0;169000;Otomatik;Dizel;;1422.0;75.0;Hatchback/5;3 boyalı;13.510208833790402
1075000.0;Volkswagen;Polo;1.0 Impression;2024.0;20000;Otomatik;Dizel;;1200.0;88.0;Hatchback/5;Tamamı orjinal;13.887832149776026
742000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2014.0;250000;Otomatik;Dizel;;1500.5;113.0;Sedan;1 değişen, 6 boyalı;13.517105869857504
1490000.0;Volkswagen;Golf;1.4 TSi Comfortline;2017.0;128000;Otomatik;Benzin;;1300.5;113.0;Hatchback/5;2 boyalı;14.214287349062356
1830000.0;Volkswagen;Passat;1.5 TSi Business;2021.0;135000;Otomatik;Benzin;;1498.0;150.0;Sedan;Belirtilmemiş;14.419827071265544
630000.0;Volkswagen;Jetta;1.4 TSi Tour;2009.0;270000;Yarı Otomatik;Benzin;;1390.0;122.0;Sedan;4 boyalı;13.353476685668044
1750000.0;Volkswagen;Passat;1.6 TDi BlueMotion Highline;2017.0;175000;Otomatik;Dizel;;1598.0;120.0;Sedan;Belirtilmemiş;14.375126917328105
1820000.0;Volkswagen;Passat;1.5 TSi Impression;2021.0;49000;Otomatik;Benzin;;1498.0;150.0;Sedan;Belirtilmemiş;14.414347608503377
465000.0;Volkswagen;Polo;1.4 Basicline;2005.0;217000;Düz;Dizel;;1390.0;75.0;Hatchback/5;1 değişen, 6 boyalı;13.049794835104816
955000.0;Volkswagen;Golf;1.6 TDi BlueMotion Comfortline;2016.0;258000;Otomatik;Dizel;;1500.5;113.0;Hatchback/5;Tamamı orjinal;13.769467666582738
1125000.0;Volkswagen;Golf;1.6 TDi BlueMotion Comfortline;2017.0;208000;Otomatik;Dizel;;1500.5;113.0;Hatchback/5;Tamamı orjinal;13.933294482509153
870000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2012.0;235000;Yarı Otomatik;Dizel;;1598.0;105.0;Sedan;6 boyalı;13.676249640055394
755000.0;Volkswagen;Polo;1.6 TDi Comfortline;2013.0;201000;Otomatik;Dizel;;1500.5;88.0;Hatchback/5;3 değişen, 3 boyalı;13.534474352733596
1715000.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2018.0;100000;Otomatik;Benzin;;1300.5;113.0;Sedan;Tamamı orjinal;14.354924221672386
1205000.0;Volkswagen;Jetta;1.4 TSi BlueMotion Comfortline;2017.0;149000;Otomatik;Benzin;;1300.5;113.0;Sedan;Tamamı orjinal;14.001990954782066
1680000.0;Volkswagen;Passat;1.4 TSi BlueMotion Highline;2016.0;72440;Otomatik;Benzin;;1300.5;113.0;Sedan;3 değişen, 5 boyalı;14.33430494661736
1600000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;203000;Otomatik;Dizel;;1598.0;120.0;Sedan;Belirtilmemiş;14.285514812209817
529000.0;Volkswagen;Golf;1.6 FSi Midline;2004.0;262000;Düz;Benzin;;1598.0;115.0;Hatchback/5;Belirtilmemiş;13.178745601197818
325000.0;Volkswagen;Passat;1.8 Basic;1998.0;371000;Düz;Dizel;;1781.0;125.0;Sedan;1 değişen, 12 boyalı;12.691583538230216
850000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2011.0;200550;Yarı Otomatik;Dizel;;1598.0;105.0;Sedan;1 değişen, 3 boyalı;13.652992804936396
1035000.0;Volkswagen;Jetta;1.4 TSi BlueMotion Comfortline;2016.0;177000;Otomatik;Benzin;;1395.0;125.0;Sedan;2 değişen, 2 boyalı;13.849912950864717
1525000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2015.0;164000;Otomatik;Dizel;;1500.5;113.0;Sedan;Tamamı orjinal;14.23750562376114
1200000.0;Volkswagen;Golf;1.4 TSi Comfortline;2013.0;168000;Otomatik;Benzin;;1395.0;122.0;Hatchback/5;Tamamı orjinal;13.997832948091215
199750.0;Volkswagen;Polo;1.6 Classic;1997.0;94000;Düz;Dizel;;1595.0;100.0;Sedan;Belirtilmemiş;12.204826869873813
1250000.0;Volkswagen;Polo;1.0 TSi Comfortline;2021.0;103000;Otomatik;Benzin;;999.0;95.0;Hatchback/5;Belirtilmemiş;14.038654909278163
785000.0;Volkswagen;Jetta;1.6 TDi Exclusive;2011.0;277000;Yarı Otomatik;Dizel;;1500.5;113.0;Sedan;Tamamı orjinal;13.573440270649083
1385000.0;Volkswagen;Golf;1.0 eTSI Life;2021.0;156500;Otomatik;Benzin;;999.0;110.0;Hatchback/5;Belirtilmemiş;14.141211419624977
1490000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2017.0;180000;Otomatik;Dizel;;1598.0;120.0;Sedan;Belirtilmemiş;14.214287349062356
900000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2014.0;273000;Otomatik;Dizel;;1598.0;105.0;Sedan;1 değişen;13.71015115341694
1185000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;250000;Otomatik;Dizel;;1500.5;113.0;Sedan;3 değişen, 2 boyalı;13.98525417643287
610000.0;Volkswagen;Jetta;1.6 Primeline;2010.0;375000;Yarı Otomatik;Dizel;;1595.0;102.0;Sedan;Belirtilmemiş;13.321215875492411
1473000.0;Volkswagen;Polo;1.0 TSi Life;2024.0;6046;Otomatik;Benzin;;1200.0;88.0;Hatchback/5;Tamamı orjinal;14.202812374331163
1100000.0;Volkswagen;Jetta;1.6 TDi Highline;2014.0;197000;Otomatik;Dizel;;1598.0;105.0;Sedan;Tamamı orjinal;13.910821646859096
710000.0;Volkswagen;Polo;1.6 TDi Comfortline;2013.0;280000;Otomatik;Dizel;;1598.0;90.0;Hatchback/5;4 boyalı;13.47302165746721
300000.0;Volkswagen;Polo;1.Haz;2000.0;278000;Düz;Dizel;;1598.0;75.0;Hatchback/5;Belirtilmemiş;12.611541086966117
665000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2011.0;272000;Yarı Otomatik;Dizel;;1598.0;105.0;Sedan;5 boyalı;13.407543823396258
1135000.0;Renault;Clio;1.0 TCe Touch;2020.0;56000;Otomatik;Benzin;;999.0;100.0;Hatchback/5;Tamamı orjinal;13.94214408995452
